PokemonID;Name;NickName;CP / MaxCP;IV Perfection in %;Attack 1;Attack 2;HP;Attk;Def;Stamina;Familie Candies;IsInGym;IsFavorite;previewLink
74;Geodude;;34/37;"68,56";RockThrowFast;RockSlide;15;8;14;12;6;;No;http://poke.isitin.org/#NzQsMjIsMiwzNCwxNQ==
46;Paras;;411/445;"68,17";ScratchFast;XScissor;44;11;10;10;25;;No;http://poke.isitin.org/#NDYsMjIsMTcsNDExLDQ0
50;Diglett;;204/234;"66,88";ScratchFast;RockTomb;19;3;11;14;21;;No;http://poke.isitin.org/#NTAsMjIsMTgsMjA0LDE5
69;Bellsprout;;442/478;"65,45";VineWhipFast;Wrap;53;11;14;4;9;;No;http://poke.isitin.org/#NjksMjIsMTUsNDQyLDUz
4;Charmander;;12/13;"65,26";ScratchFast;Flamethrower;10;10;10;10;8;;No;http://poke.isitin.org/#NCwyMiwxLDEyLDEw
93;Haunter;;696/749;"64,10";LickFast;DarkPulse;60;11;3;14;12;;No;http://poke.isitin.org/#OTMsMjIsMTksNjk2LDYw
11;Metapod;;82/93;"63,58";TackleFast;Struggle;35;13;8;2;3;;No;http://poke.isitin.org/#MTEsMjIsNyw4MiwzNQ==
43;Oddish;;483/524;"62,50";AcidFast;SeedBomb;51;12;10;6;7;;No;http://poke.isitin.org/#NDMsMjIsMTYsNDgzLDUx
74;Geodude;;264/291;"62,15";RockThrowFast;RockSlide;38;12;14;3;6;;No;http://poke.isitin.org/#NzQsMjIsMTIsMjY0LDM4
65;Alakazam;;968/1036;"61,61";ConfusionFast;DazzlingGleam;69;15;5;6;3;;No;http://poke.isitin.org/#NjUsMjIsMjAsOTY4LDY5
92;Gastly;;163/181;"61,23";LickFast;OminousWind;28;5;8;15;12;;No;http://poke.isitin.org/#OTIsMjIsOCwxNjMsMjg=
96;Drowzee;;421/460;"60,60";PoundFast;Psybeam;69;7;9;15;15;;No;http://poke.isitin.org/#OTYsMjIsMTUsNDIxLDY5
42;Golbat;;133/143;"60,46";BiteFast;PoisonFang;32;14;9;1;19;;No;http://poke.isitin.org/#NDIsMjIsMywxMzMsMzI=
88;Grimer;;574/623;"60,17";AcidFast;MudBomb;90;15;3;4;21;;No;http://poke.isitin.org/#ODgsMjIsMTcsNTc0LDkw
19;Rattata;;100/113;"59,60";QuickAttackFast;HyperFang;24;9;10;9;22;;No;http://poke.isitin.org/#MTksMjIsNywxMDAsMjQ=
84;Doduo;;150/167;"58,75";QuickAttackFast;AerialAce;28;3;15;12;9;;No;http://poke.isitin.org/#ODQsMjIsNywxNTAsMjg=
43;Oddish;;267/293;"58,75";AcidFast;SludgeBomb;37;11;14;3;7;;No;http://poke.isitin.org/#NDMsMjIsOSwyNjcsMzc=
61;Poliwhirl;;54/59;"58,72";BubbleFast;MudBomb;23;8;9;11;21;;No;http://poke.isitin.org/#NjEsMjIsMiw1NCwyMw==
70;Weepinbell;;908/984;"56,26";AcidFast;SludgeBomb;83;8;9;9;9;;No;http://poke.isitin.org/#NzAsMjIsMjAsOTA4LDgz
46;Paras;;110/123;"56,02";ScratchFast;XScissor;22;7;13;8;25;;No;http://poke.isitin.org/#NDYsMjIsNSwxMTAsMjI=
1;Bulbasaur;;13/15;"55,44";TackleFast;SeedBomb;10;12;14;0;6;;No;http://poke.isitin.org/#MSwyMiwxLDEzLDEw
47;Parasect;;22/24;"55,43";BugBiteFast;CrossPoison;12;12;2;8;25;;No;http://poke.isitin.org/#NDcsMjIsMSwyMiwxMg==
23;Ekans;;54/61;"54,84";AcidFast;GunkShot;16;12;7;5;10;;No;http://poke.isitin.org/#MjMsMjIsMyw1NCwxNg==
51;Dugtrio;;632/701;"54,82";MudShotFast;Earthquake;48;5;14;9;21;;No;http://poke.isitin.org/#NTEsMjIsMjEsNjMyLDQ4
103;Exeggutor;;951/1013;"54,79";ZenHeadbuttFast;SolarBeam;93;7;8;11;10;;No;http://poke.isitin.org/#MTAzLDIyLDEyLDk1MSw5Mw==
95;Onix;;56/63;"54,70";RockThrowFast;StoneEdge;17;7;8;11;28;;No;http://poke.isitin.org/#OTUsMjIsMyw1NiwxNw==
149;Dragonite;;1085/1150;"54,54";DragonBreathFast;HyperBeam;84;15;1;5;7;;No;http://poke.isitin.org/#MTQ5LDIyLDExLDUsMTA4NSw4NA==
54;Psyduck;;343/380;"54,27";WaterGunFast;AquaTail;46;13;9;1;40;;No;http://poke.isitin.org/#NTQsMjIsMTIsMzQzLDQ2
109;Koffing;;77/85;"53,91";TackleFast;DarkPulse;17;15;4;3;6;;No;http://poke.isitin.org/#MTA5LDIyLDMsNzcsMTc=
103;Exeggutor;;1107/1182;"52,96";ZenHeadbuttFast;Psychic;100;5;10;11;10;;No;http://poke.isitin.org/#MTAzLDIyLDE0LDExMDcsMTAw
133;Eevee;;13/15;"51,60";TackleFast;Swift;11;2;15;14;15;;No;http://poke.isitin.org/#MTMzLDIyLDEsMTMsMTE=
50;Diglett;;158/195;"51,12";MudShotFast;RockTomb;17;2;2;13;21;;No;http://poke.isitin.org/#NTAsMjIsMTUsMTU4LDE3
58;Growlithe;;53/59;"50,99";EmberFast;BodySlam;20;5;6;14;9;;No;http://poke.isitin.org/#NTgsMjIsMiw1MywyMA==
32;NidoranMale;;122/139;"50,86";PoisonStingFast;HornAttack;29;11;11;0;22;;No;http://poke.isitin.org/#MzIsMjIsNiwxMjIsMjk=
7;Squirtle;;12/14;"50,83";BubbleFast;AquaTail;10;11;13;0;17;;No;http://poke.isitin.org/#NywyMiwxLDEyLDEw
18;Pidgeot;;771/836;"50,64";WingAttackFast;AerialAce;88;5;9;12;9;;No;http://poke.isitin.org/#MTgsMjIsMTQsNzcxLDg4
79;Slowpoke;;312/348;"50,21";WaterGunFast;Psyshock;81;6;8;13;37;;No;http://poke.isitin.org/#NzksMjIsMTAsMzEyLDgx
62;Poliwrath;;102/111;"49,29";MudShotFast;Submission;31;8;6;8;21;;No;http://poke.isitin.org/#NjIsMjIsMiwxMDIsMzE=
23;Ekans;;118/136;"47,87";PoisonStingFast;SludgeBomb;25;5;10;9;10;;No;http://poke.isitin.org/#MjMsMjIsNiwxMTgsMjU=
60;Poliwag;;315/363;"46,71";BubbleFast;MudBomb;43;8;14;1;21;;No;http://poke.isitin.org/#NjAsMjIsMTYsMzE1LDQz
16;Pidgey;;148/173;"46,38";TackleFast;Twister;34;5;12;7;9;;No;http://poke.isitin.org/#MTYsMjIsOSwxNDgsMzQ=
13;Weedle;;83/101;"46,14";PoisonStingFast;Struggle;31;10;5;4;4;;No;http://poke.isitin.org/#MTMsMjIsOCw4MywzMQ==
93;Haunter;;668/749;"45,66";LickFast;DarkPulse;57;6;6;9;12;;No;http://poke.isitin.org/#OTMsMjIsMTksNjY4LDU3
59;Arcanine;;1185/1278;"44,98";BiteFast;Bulldoze;96;8;5;7;9;;No;http://poke.isitin.org/#NTksMjIsMTUsMTE4NSw5Ng==
